,jordkvalitet,kartleggingsmetode,verifiseringsdato,målemetode,nøyaktighet,fylkeid,komid
610,1,J,20190211000000,0,0,42,4204
611,1,J,20190211000000,0,0,42,4204
612,2,J,20190211000000,0,0,42,4204
613,2,J,20190211000000,0,0,42,4204
614,1,J,20190211000000,0,0,42,4204
615,2,J,20190211000000,0,0,42,4204
616,2,J,20190211000000,0,0,42,4204
617,1,J,20190211000000,0,0,42,4204
618,1,J,20190211000000,0,0,42,4204
619,1,J,20190211000000,0,0,42,4204
620,1,J,20190211000000,0,0,42,4204
621,2,J,20190211000000,0,0,42,4204
622,1,J,20190211000000,82,0,42,4204
623,1,J,20190211000000,0,0,42,4204
624,1,J,20190211000000,0,0,42,4204
625,1,J,20190211000000,0,0,42,4204
626,1,J,20190211000000,0,0,42,4204
627,1,J,20190211000000,0,0,42,4204
628,1,J,20190211000000,0,0,42,4204
629,1,J,20190211000000,0,0,42,4204
630,1,J,20190211000000,0,0,42,4204
631,1,J,20190211000000,0,0,42,4204
632,1,J,20190211000000,0,0,42,4204
633,1,J,20190211000000,82,0,42,4204
634,1,J,20190211000000,0,0,42,4204
635,3,J,20190211000000,0,0,42,4204
636,2,J,20190211000000,0,0,42,4204
637,1,J,20190211000000,0,0,42,4204
638,1,J,20190211000000,0,0,42,4204
639,1,J,20190211000000,0,0,42,4204
640,2,J,20190211000000,0,0,42,4204
641,1,J,20190211000000,0,0,42,4204
642,1,J,20190211000000,0,0,42,4204
643,2,J,20190211000000,0,0,42,4204
644,1,J,20190211000000,0,0,42,4204
645,2,J,20190211000000,0,0,42,4204
646,2,J,20190211000000,0,0,42,4204
647,2,J,20190211000000,82,0,42,4204
648,2,J,20190211000000,0,0,42,4204
649,1,J,20190211000000,0,0,42,4204
650,1,J,20190211000000,82,0,42,4204
651,2,J,20190211000000,0,0,42,4204
652,2,J,20190211000000,82,0,42,4204
653,2,J,20190211000000,0,0,42,4204
654,1,J,20190211000000,0,0,42,4204
655,1,J,20190211000000,0,0,42,4204
656,2,J,20190211000000,0,0,42,4204
657,2,J,20190211000000,0,0,42,4204
658,1,J,20190211000000,0,0,42,4204
659,2,J,20190211000000,0,0,42,4204
660,1,J,20190211000000,0,0,42,4204
661,2,J,20190211000000,0,0,42,4204
662,2,J,20190211000000,0,0,42,4204
663,2,J,20190211000000,0,0,42,4204
664,1,J,20190211000000,0,0,42,4204
665,2,J,20190211000000,82,0,42,4204
666,1,J,20190211000000,82,0,42,4204
667,1,J,20190211000000,0,0,42,4204
668,1,J,20190211000000,0,0,42,4204
669,1,J,20190211000000,0,0,42,4204
670,2,J,20190211000000,0,0,42,4204
